,Unnamed: 0,Attribute,Description,Value,Meaning
1317,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,1,very low
1318,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,2,low
1319,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,3,average
1320,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,4,high
1321,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,5,very high
1322,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,-1,unknown
1323,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,0,none
1324,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,1,very low
1325,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,2,low
1326,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,3,average
1327,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,4,high
1328,,KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,5,very high
1329,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,-1,unknown
1330,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,0,none
1331,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,1,very low
1332,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,2,low
1333,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,3,average
1334,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,4,high
1335,,KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,5,very high
1336,,KBA13_FIAT,share of FIAT within the PLZ8,-1,unknown
1337,,KBA13_FIAT,share of FIAT within the PLZ8,0,none
1338,,KBA13_FIAT,share of FIAT within the PLZ8,1,very low
1339,,KBA13_FIAT,share of FIAT within the PLZ8,2,low
1340,,KBA13_FIAT,share of FIAT within the PLZ8,3,average
1341,,KBA13_FIAT,share of FIAT within the PLZ8,4,high
1342,,KBA13_FIAT,share of FIAT within the PLZ8,5,very high
1343,,KBA13_FORD,share of FORD within the PLZ8,-1,unknown
1344,,KBA13_FORD,share of FORD within the PLZ8,0,none
1345,,KBA13_FORD,share of FORD within the PLZ8,1,very low
1346,,KBA13_FORD,share of FORD within the PLZ8,2,low
1347,,KBA13_FORD,share of FORD within the PLZ8,3,average
1348,,KBA13_FORD,share of FORD within the PLZ8,4,high
1349,,KBA13_FORD,share of FORD within the PLZ8,5,very high
1350,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,-1,unknown
1351,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,0,none
1352,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,1,very low
1353,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,2,low
1354,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,3,average
1355,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,4,high
1356,,KBA13_HALTER_20,share of car owners below 21 within the PLZ8,5,very high
1357,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,-1,unknown
1358,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,0,none
1359,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,1,very low
1360,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,2,low
1361,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,3,average
1362,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,4,high
1363,,KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,5,very high
1364,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,-1,unknown
1365,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,0,none
1366,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,1,very low
1367,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,2,low
1368,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,3,average
1369,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,4,high
1370,,KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,5,very high
1371,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,-1,unknown
1372,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,0,none
1373,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,1,very low
1374,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,2,low
1375,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,3,average
1376,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,4,high
1377,,KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,5,very high
1378,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,-1,unknown
1379,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,0,none
1380,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,1,very low
1381,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,2,low
1382,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,3,average
1383,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,4,high
1384,,KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,5,very high
1385,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,-1,unknown
1386,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,0,none
1387,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,1,very low
1388,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,2,low
1389,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,3,average
1390,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,4,high
1391,,KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,5,very high
1392,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,-1,unknown
1393,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,0,none
1394,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,1,very low
1395,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,2,low
1396,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,3,average
1397,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,4,high
1398,,KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,5,very high
1399,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,-1,unknown
1400,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,0,none
1401,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,1,very low
1402,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,2,low
1403,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,3,average
1404,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,4,high
1405,,KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,5,very high
1406,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,-1,unknown
1407,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,0,none
1408,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,1,very low
1409,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,2,low
1410,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,3,average
1411,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,4,high
1412,,KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,5,very high
1413,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,-1,unknown
1414,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,0,none
1415,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,1,very low
1416,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,2,low
1417,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,3,average
1418,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,4,high
1419,,KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,5,very high
1420,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,-1,unknown
1421,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,0,none
1422,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,1,very low
1423,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,2,low
1424,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,3,average
1425,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,4,high
1426,,KBA13_HALTER_66,share of car owners over 66 within the PLZ8,5,very high
1427,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,-1,unknown
1428,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,0,none
1429,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,1,very low
1430,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,2,low
1431,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,3,average
1432,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,4,high
1433,,KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,5,very high
1434,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,-1,unknown
1435,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,0,none
1436,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,1,very low
1437,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,2,low
1438,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,3,average
1439,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,4,high
1440,,KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,5,very high
1441,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,-1,unknown
1442,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,0,none
1443,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,1,very low
1444,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,2,low
1445,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,3,average
1446,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,4,high
1447,,KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,5,very high
1448,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,-1,unknown
1449,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,0,none
1450,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,1,very low
1451,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,2,low
1452,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,3,average
1453,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,4,high
1454,,KBA13_HERST_EUROPA,share of European cars within the PLZ8,5,very high
1455,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,-1,unknown
1456,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,0,none
1457,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,1,very low
1458,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,2,low
1459,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,3,average
1460,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,4,high
1461,,KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,5,very high
1462,,KBA13_HERST_SONST,share of other cars within the PLZ8,-1,unknown
1463,,KBA13_HERST_SONST,share of other cars within the PLZ8,0,none
1464,,KBA13_HERST_SONST,share of other cars within the PLZ8,1,very low
1465,,KBA13_HERST_SONST,share of other cars within the PLZ8,2,low
1466,,KBA13_HERST_SONST,share of other cars within the PLZ8,3,average
1467,,KBA13_HERST_SONST,share of other cars within the PLZ8,4,high
1468,,KBA13_HERST_SONST,share of other cars within the PLZ8,5,very high
1469,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,-1,unknown
1470,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,0,none
1471,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,1,very low
1472,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,2,low
1473,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,3,average
1474,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,4,high
1475,,KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,5,very high
1476,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,-1,unknown
1477,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,0,none
1478,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,1,very low
1479,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,2,low
1480,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,3,average
1481,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,4,high
1482,,KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,5,very high
1483,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,-1,unknown
1484,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,0,none
1485,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,1,very low
1486,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,2,low
1487,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,3,average
1488,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,4,high
1489,,KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,5,very high
1490,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,-1,unknown
1491,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,0,none
1492,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,1,very low
1493,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,2,low
1494,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,3,average
1495,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,4,high
1496,,KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,5,very high
1497,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,-1,unknown
1498,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,0,none
1499,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,1,very low
1500,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,2,low
1501,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,3,average
1502,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,4,high
1503,,KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,5,very high
1504,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,-1,unknown
1505,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,0,none
1506,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,1,very low
1507,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,2,low
1508,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,3,average
1509,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,4,high
1510,,KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,5,very high
1511,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,-1,unknown
1512,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,0,none
1513,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,1,very low
1514,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,2,low
1515,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,3,average
1516,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,4,high
1517,,KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,5,very high
1518,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,-1,unknown
1519,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,0,none
1520,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,1,very low
1521,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,2,low
1522,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,3,average
1523,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,4,high
1524,,KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,5,very high
1525,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,-1,unknown
1526,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,0,none
1527,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,1,very low
1528,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,2,low
1529,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,3,average
1530,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,4,high
1531,,KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,5,very high
1532,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,-1,unknown
1533,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,0,none
1534,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,1,very low
1535,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,2,low
1536,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,3,average
1537,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,4,high
1538,,KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,5,very high
1539,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,-1,unknown
1540,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,0,none
1541,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,1,very low
1542,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,2,low
1543,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,3,average
1544,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,4,high
1545,,KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,5,very high
1546,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,-1,unknown
1547,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,0,none
1548,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,1,very low
1549,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,2,low
1550,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,3,average
1551,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,4,high
1552,,KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,5,very high
1553,,KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,-1,unknown
1554,,KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,0,none
1555,,KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,1,low
1556,,KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,2,average
1557,,KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,3,high
1558,,KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,-1,unknown
1559,,KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,0,none
1560,,KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,1,low
1561,,KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,2,average
1562,,KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,3,high
1563,,KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,-1,unknown
1564,,KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,0,none
1565,,KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,1,low
1566,,KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,2,average
1567,,KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,3,high
1568,,KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,-1,unknown
1569,,KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,0,none
1570,,KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,1,low
1571,,KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,2,average
1572,,KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,3,high
1573,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,-1,unknown
1574,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,0,none
1575,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,1,very low
1576,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,2,low
1577,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,3,average
1578,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,4,high
1579,,KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,5,very high
1580,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,-1,unknown
1581,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,0,none
1582,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,1,very low
1583,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,2,low
1584,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,3,average
1585,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,4,high
1586,,KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,5,very high
1587,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,-1,unknown
1588,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,0,none
1589,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,1,very low
1590,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,2,low
1591,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,3,average
1592,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,4,high
1593,,KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,5,very high
1594,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,-1,unknown
1595,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,0,none
1596,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,1,very low
1597,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,2,low
1598,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,3,average
1599,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,4,high
1600,,KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,5,very high
1601,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,-1,unknown
1602,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,0,none
1603,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,1,very low
1604,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,2,low
1605,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,3,average
1606,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,4,high
1607,,KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,5,very high
1608,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,-1,unknown
1609,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,0,none
1610,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,1,very low
1611,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,2,low
1612,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,3,average
1613,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,4,high
1614,,KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,5,very high
1615,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,-1,unknown
1616,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,0,none
1617,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,1,very low
1618,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,2,low
1619,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,3,average
1620,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,4,high
1621,,KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,5,very high
1622,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,-1,unknown
1623,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,0,none
1624,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,1,very low
1625,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,2,low
1626,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,3,average
1627,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,4,high
1628,,KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,5,very high
1629,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,-1,unknown
1630,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,0,none
1631,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,1,very low
1632,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,2,low
1633,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,3,average
1634,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,4,high
1635,,KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,5,very high
